,Unnamed: 0,price,rooms,area,kitchen_area,floor,renovation,deal_type,balcony,trash_chute,Год постройки,Серия дома,Количество этажей,Лифт,Тип перекрытий,Тип фундамента,Горячее водоснабжение,Количество балконов,Количество квартир,Холодное водоснабжение,Теплоснабжение,Водоотведение,Количество подъездов,Жилая,years_in_ownership,number_of_owners,energy_efficiency_class,power_supply,number_of_elevators,ventilation,freight_elevator,gas_supply,latitude,longitude,wall_material_Блочный,wall_material_Железобетон,wall_material_Кирпично-монолитный,wall_material_Кирпичный,wall_material_Монолитно-кирпичный,wall_material_Монолитный,wall_material_Панельный,wall_material_Смешанные
54,54,6500000,1.0,28.5,5.0,1.0,0,1,1,,2023.0,,4.0,,,,,1.0,,,,,,,,,,,,,,,43.23055235,132.02866555,False,False,False,False,True,False,False,False
55,55,10500000,4.0,73.7,,5.0,1,1,0,1.0,1972.0,,6.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,,,,,,,C,,,,,,43.12674165,131.89898438535536,False,False,False,True,False,False,False,False
56,56,8300000,2.0,47.4,10.0,10.0,0,0,0,,2022.0,,25.0,,Железобетонный,,,,,,,,,,,,,,,,,,43.17579885,131.94006015,False,False,False,False,False,True,False,False
57,57,9900000,3.0,69.2,9.0,1.0,1,1,0,1.0,1984.0,1-панельный,9.0,1.0,Железобетонный,Иной,,1.0,1080.0,,,,,,,,,,1.0,,,,43.094198000000006,131.85877983664193,False,False,False,False,False,False,True,False
58,58,5490000,1.0,34.9,,8.0,1,1,1,1.0,1977.0,,9.0,1.0,Железобетонный,Иной,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,,,,,,,,,1.0,,,,43.0928771,131.9514917618974,False,False,False,False,False,False,True,False
59,59,6800000,2.0,45.4,4.0,7.0,1,1,0,1.0,1974.0,v-кирпичный,9.0,1.0,Железобетонный,Иной,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,,,,,,,,,,,43.1054986,131.9432466,False,False,False,True,False,False,False,False
60,60,13400000,3.0,88.8,15.0,18.0,0,0,1,,2022.0,,22.0,,Железобетонный,,Центральное,1.0,,,,,,,,,,,,,,,43.1198395,131.9112378,False,False,False,False,False,True,False,False
61,61,9550000,2.0,45.3,,2.0,1,1,0,0.0,1977.0,v-кирпичный,9.0,1.0,Железобетонный,,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,Центральное,Центральное,,,,,,,,1.0,,нет,нет,43.10134495,131.8633148591122,False,False,False,True,False,False,False,False
62,62,4350000,2.0,44.0,8.0,2.0,1,1,1,1.0,1950.0,,2.0,,Деревянный,Ленточный,,1.0,,Центральное,Центральное,Центральное,,,,,,Центральное,,,,,,,True,False,False,False,False,False,False,False
63,63,13000000,3.0,76.3,,7.0,1,1,1,1.0,2010.0,,15.0,,Железобетонный,Иной,Центральное,1.0,215.0,,,,,,,,B+,,,,,,43.08561205,131.85362410081632,False,False,False,False,False,True,False,False
64,64,8120000,,,,,1,1,1,,2021.0,,25.0,,Железобетонный,,Поквартирный котел,,,,,,,,,,,,,,,,43.100162,131.946842,False,False,False,False,True,False,False,False
65,65,6800000,1.0,35.4,,7.0,0,1,0,1.0,2022.0,,25.0,,Железобетонный,,,1.0,,,,,,,,,,,,,,,43.17579885,131.94006015,False,False,False,False,False,True,False,False
66,66,6600000,,,,,1,0,1,1.0,1987.0,П-55,9.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,,,,,,,,,,,43.16340675,131.93154123765134,False,False,False,False,False,False,True,False
67,67,29850000,3.0,120.0,18.0,6.0,1,1,1,1.0,2008.0,v-кирпичный,17.0,1.0,Железобетонный,Иной,,,,,,,,101 м2,Больше пяти,,B,,,,,,43.1335414,131.90410399239602,False,False,False,True,False,False,False,False
68,68,7300000,2.0,51.1,,1.0,1,1,0,1.0,1988.0,111-83,10.0,1.0,Железобетонный,Ленточный,Закрытая с приготовлением горячей воды на ЦТП,1.0,,,,,,,,,,,,,,,43.09557075,131.89472107811957,False,False,False,False,False,False,True,False
69,69,7700000,1.0,40.1,9.0,12.0,1,1,0,1.0,2020.0,,24.0,,Железобетонный,,Центральное,1.0,198.0,,,,,,,,,,,,,,43.1194382,131.9565994,False,False,False,False,False,True,False,False
70,70,6600000,2.0,45.9,6.0,9.0,1,1,0,1.0,1974.0,81,9.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,,,,,,,,,,,,,,43.1299846,131.93260578614002,False,False,False,False,False,False,True,False
71,71,14900000,3.0,70.9,15.0,4.0,1,0,0,1.0,2000.0,v-кирпичный,15.0,1.0,Железобетонный,Сплошной,Центральное,1.0,124.0,,,,,,,,,,,,,,43.125537,131.89385086210967,False,False,False,True,False,False,False,False
72,72,10000000,3.0,64.0,8.0,1.0,0,1,1,,2021.0,,4.0,,Железобетонный,,Центральное,1.0,72.0,,,,,,,,,,,,,,43.25403605,132.00916640629424,False,False,False,False,False,True,False,False
73,73,5100000,,,,,1,1,1,,,,10.0,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,True,False
74,74,7000000,,30.0,6.5,5.0,1,0,0,0.0,1964.0,II-03,5.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,,,,,,,,,,,,43.14792795,131.91677860094728,False,False,False,True,False,False,False,False
75,75,7900000,,,,,1,0,0,1.0,2021.0,,25.0,,Железобетонный,,Поквартирный котел,,,,,,,,,,,,,,,,43.100162,131.946842,False,False,False,False,True,False,False,False
76,76,9950000,2.0,54.8,6.0,6.0,0,1,0,1.0,,,24.0,,,,,1.0,,,,,,,,,,,,,,,43.1627073,131.9488599253081,False,False,True,False,False,False,False,False
77,77,8000000,2.0,42.6,6.0,1.0,1,1,1,1.0,1968.0,,5.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,,,,,,,Центральное,,,,,43.13307325,131.89154983799213,False,False,False,False,False,False,True,False
78,78,13600000,3.0,67.3,8.0,1.0,1,1,1,,,,9.0,,,,,1.0,,,,,,,,,,,,,,,,,False,False,False,False,False,False,True,False
79,79,14000000,,,,,0,1,1,,2022.0,,23.0,,Железобетонный,,Центральное,,,,,,,,,,,,,,,,43.11345495,131.94425075811645,False,False,False,False,False,True,False,False
